,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_xanthopterus,2.550633,1.937067,4.232223,2.445642,2.294702,4.064004,2.938887,1.773041,2.968671,0.647754,1.254160,1.776594,1.050690,1.029457,3.309242,0.593006,2.509941,4.216829,0.819488,1.253547,0.000000,2.523527,0.477420,1.694343,1.008292,1.859232,0.856138,3.876001,3.385442,3.663541,3.319178,2.798338,1.996872,3.356653,3.778415,2.554578,4.514617,2.274647,0.469820,1.881843,0.924761,4.228022,4.049270,3.229645,0.763504,3.252851,4.184671,4.028817,0.387537
Ctenochaetus_binotatus,1.907325,0.829462,2.084447,1.557172,1.030405,1.602989,2.068981,1.230235,0.648645,2.861458,1.835526,0.829576,1.501987,1.528322,1.704274,2.581465,0.770388,2.028516,2.696598,2.558382,2.523527,0.000000,2.122262,0.892637,2.959882,1.957136,2.570788,1.534534,2.568000,2.689759,0.990280,0.793898,1.088667,1.162199,1.824757,0.818373,2.234940,2.040487,2.864416,1.986249,2.003843,1.752026,1.956998,1.380581,3.259335,1.707199,1.882756,1.739168,2.413798
Ctenochaetus_cyanocheilus,2.425024,1.480210,3.761339,1.986659,2.045285,3.625214,2.527483,1.309416,2.582962,1.069974,1.202102,1.398810,0.686761,0.595445,2.847304,0.913230,2.054381,3.748016,0.794184,1.031482,0.477420,2.122262,0.000000,1.339654,1.154544,1.424504,0.696428,3.439736,2.960955,3.222967,2.906559,2.344755,1.525924,2.911738,3.304909,2.223687,4.053113,1.837071,0.742668,1.515157,0.911956,3.793707,3.576670,2.759231,1.198638,2.794120,3.723905,3.567545,0.647754
Ctenochaetus_flavicauda,1.792906,0.755867,2.855092,1.581516,0.960413,2.477109,2.089755,0.911477,1.436520,2.021252,1.104415,0.524359,0.773089,0.794660,2.114482,1.753713,1.126882,2.814516,1.927773,1.909597,1.694343,0.892637,1.339654,0.000000,2.125904,1.712249,1.870743,2.399338,2.683494,2.912284,1.681368,1.445756,1.069145,1.832245,2.469070,1.197295,3.072719,1.908149,2.067248,1.548858,1.238946,2.637443,2.690065,2.004255,2.403706,2.078702,2.711338,2.551718,1.584930
Ctenochaetus_hawaiiensis,3.369951,2.366635,4.521647,2.494743,2.903719,4.414707,2.724063,1.999145,3.523005,1.378676,2.001977,2.389159,1.740768,1.590689,3.353296,1.441184,2.759051,4.515000,0.600647,1.008730,1.008292,2.959882,1.154544,2.125904,0.000000,2.161709,1.004012,4.351052,3.197616,3.555994,3.535588,3.244439,2.429120,3.542682,3.966103,3.224092,4.870868,2.340298,0.907313,1.640464,1.782953,4.606484,4.303505,3.602445,0.900664,3.274835,4.508329,4.329540,1.311387
Ctenochaetus_striatus,3.024037,1.145793,2.764757,1.105522,2.487733,2.967946,1.822071,0.957446,2.335100,2.463876,2.268147,1.573782,1.417286,1.239700,1.929688,2.296746,1.506966,2.782779,1.614075,1.259027,1.859232,1.957136,1.424504,1.712249,2.161709,0.000000,1.290003,2.740588,1.914085,2.040543,2.529818,1.667724,0.878176,2.291274,2.299734,2.266601,3.131119,0.629797,1.864146,1.286383,2.076811,3.146222,2.576594,1.776081,2.448506,1.898339,2.857235,2.717308,2.036129
Ctenochaetus_strigosus,3.096091,1.815479,3.923324,1.977807,2.679219,3.942974,2.446035,1.499840,3.055589,1.483216,1.897396,1.931746,1.298707,1.122296,2.896897,1.441896,2.305517,3.927139,0.407120,0.518590,0.856138,2.570788,0.696428,1.870743,1.004012,1.290003,0.000000,3.769168,2.753562,3.023630,3.247003,2.642492,1.758795,3.158025,3.412807,2.778443,4.273467,1.630863,0.660746,1.400240,1.595843,4.126387,3.721207,2.932269,1.209055,2.835839,3.953770,3.793707,1.206085
Ctenochaetus_tominiensis,2.837150,1.994427,1.048542,2.295208,2.293771,0.651459,2.741486,2.395749,1.130957,4.246460,3.238389,2.156679,2.842224,2.864328,1.891931,3.964184,1.690204,0.969242,3.985701,3.735792,3.876001,1.534534,3.439736,2.399338,4.351052,2.740588,3.769168,0.000000,2.894718,2.778383,1.440773,1.129861,2.013093,1.343767,1.365430,1.703211,0.894122,2.720187,4.154956,3.112590,3.371764,0.643735,1.128902,1.084729,4.630973,1.969622,0.761186,0.799622,3.787280
Ctenochaetus_truncatus,4.326785,2.174184,2.282556,1.133356,3.477921,2.761341,0.794566,1.870231,2.989160,4.005085,3.652755,2.782446,2.892998,2.670092,1.081669,3.842767,1.799528,2.332391,2.869687,2.359878,3.385442,2.568000,2.960955,2.683494,3.197616,1.914085,2.753562,2.894718,0.000000,0.447244,2.356143,2.216872,2.043043,1.934245,1.650761,3.274688,2.778503,1.291351,3.390823,1.618625,3.592845,2.970690,2.040842,1.957117,3.869897,1.029569,2.500004,2.343076,3.584608
Naso_annulatus,4.461096,2.327496,2.061554,1.347071,3.646398,2.676761,1.175355,2.101889,3.029064,4.284984,3.891396,2.943165,3.112826,2.906825,1.118062,4.111838,1.938669,2.126030,3.183611,2.670064,3.663541,2.689759,3.222967,2.912284,3.555994,2.040543,3.023630,2.778383,0.447244,0.000000,2.453889,2.221397,2.159664,1.982779,1.491644,3.359133,2.561252,1.451778,3.668512,1.984981,3.829994,2.871417,1.839837,1.846705,4.178094,1.104571,2.334524,2.202273,3.850941
