,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_xanthopterus,1.586121,3.098683,2.337734,2.601154,2.590504,3.557269,0.254955,3.923371,0.538521,0.291548,1.784685,1.684041,1.886801,2.995980,2.710768,3.407495,3.088843,1.886317,1.651221,1.503373,0.000000,0.452778,0.509910,0.570088,3.394452,3.939472,1.773491,1.698963,0.430138,2.499134,4.215100,3.025041,4.157555,1.812468,4.228775,1.610422,0.806241,2.657171,3.567321,2.230158,3.835248,0.854408,2.304363,0.951342,3.112979,1.992508,3.840252,1.722352,2.046506
Ctenochaetus_binotatus,1.863000,3.239871,2.720297,2.524066,2.405330,3.370316,0.583097,3.818075,0.158115,0.360573,1.969785,1.432102,2.303270,2.927590,2.565764,3.390560,3.050550,1.772887,1.357017,1.589048,0.452778,0.000000,0.961786,0.300008,3.368558,3.804509,1.389311,1.849716,0.447216,2.418800,4.139072,3.142577,4.245014,2.080868,4.281051,1.348480,0.827685,2.887129,3.601475,2.229017,3.828054,0.764880,2.671163,1.077041,3.182064,2.214733,3.826538,1.934289,1.786935
Ctenochaetus_cyanocheilus,1.354921,2.980255,1.914420,2.747019,2.847952,3.799252,0.474361,4.070996,1.044043,0.738244,1.656854,2.028814,1.421268,3.120260,2.920341,3.462826,3.181362,2.101969,2.050996,1.523222,0.509910,0.961786,0.000000,1.051196,3.461567,4.118205,2.219318,1.639059,0.790602,2.658150,4.325188,2.934446,4.082327,1.570059,4.190787,1.973205,1.081668,2.437338,3.553300,2.300807,3.874181,1.204160,1.910520,1.012472,3.074209,1.802817,3.884288,1.576874,2.401720
Ctenochaetus_flavicauda,2.076241,3.472293,2.906889,2.735137,2.585669,3.531165,0.781025,4.017189,0.158120,0.316231,2.247240,1.646503,2.454593,3.144975,2.787155,3.634004,3.250527,1.965496,1.378957,1.882848,0.570088,0.300008,1.051196,0.000000,3.601010,4.000550,1.562129,2.042417,0.728020,2.586629,4.354541,3.390553,4.483886,2.332388,4.534589,1.506135,0.570116,3.121786,3.901376,2.501716,4.056365,0.474361,2.839911,1.360162,3.449001,2.482957,4.067862,2.140441,1.844769
Ctenochaetus_hawaiiensis,2.381318,1.238990,3.418680,0.936938,1.456463,1.475748,3.226026,0.916546,3.480260,3.556310,2.539084,2.197809,3.510345,0.557904,1.093750,0.215065,0.617471,1.703815,2.850842,2.478289,3.394452,3.368558,3.461567,3.601010,0.000000,1.088749,3.017752,1.941746,3.099537,1.311993,0.924879,1.122672,1.260587,2.758089,1.184277,2.334867,4.004068,1.934714,2.450879,1.345928,0.482524,3.979005,2.926955,2.758085,1.008126,2.613803,0.497506,2.060921,2.524977
Ctenochaetus_striatus,3.252191,2.295236,4.412995,1.376663,1.436314,0.742472,3.817638,0.265170,3.885785,4.035404,3.410860,2.456889,4.433926,1.056136,1.291024,1.233039,1.112622,2.065597,2.943027,3.224735,3.939472,3.804509,4.118205,4.000550,1.088749,0.000000,3.188067,2.686736,3.637886,1.573393,0.656698,2.206022,2.095841,3.677515,1.959358,2.534645,4.427161,2.987580,3.225465,2.129386,1.151638,4.361153,3.900209,3.434252,2.062900,3.541045,1.214118,2.898540,2.508081
Ctenochaetus_strigosus,2.531982,3.358074,3.517146,2.227260,1.882910,2.747474,1.746489,3.285913,1.430106,1.749370,2.282551,0.922372,3.268857,2.559391,1.994446,3.027460,2.811692,1.662239,1.428826,1.767774,1.773491,1.389311,2.219318,1.562129,3.017752,3.188067,0.000000,2.343407,1.431834,2.278260,3.616819,3.167906,4.112763,2.600019,4.003992,1.108300,2.122607,3.247391,3.178070,2.024429,3.497656,1.981262,3.485029,1.627909,3.015833,2.573917,3.434669,2.490301,1.638019
Ctenochaetus_tominiensis,0.723786,1.491677,2.054627,1.352956,1.725241,2.511146,1.549665,2.582769,1.961238,1.889837,1.490456,1.556903,1.883227,1.660281,1.713627,1.975254,1.632952,1.053738,1.859627,1.430551,1.698963,1.849716,1.639059,2.042417,1.941746,2.686736,2.343407,0.000000,1.568899,1.287005,2.798862,1.495970,2.546957,1.526906,2.703337,1.522377,2.294898,1.305879,2.886509,1.186474,2.306692,2.333780,1.497108,1.349609,1.732471,1.602016,2.367072,0.343813,1.848741
Ctenochaetus_truncatus,1.486865,2.890802,2.332388,2.317513,2.299036,3.280087,0.316241,3.632854,0.604156,0.608297,1.523165,1.338239,1.960886,2.703837,2.377623,3.100941,2.836514,1.625761,1.543206,1.159763,0.430138,0.447216,0.790602,0.728020,3.099537,3.637886,1.431834,1.568899,0.000000,2.278281,3.915589,2.781323,3.910255,1.640123,3.941742,1.348471,1.159779,2.493091,3.201649,1.889041,3.554425,1.151113,2.318432,0.632462,2.815224,1.767774,3.537277,1.600460,1.895551
Naso_annulatus,1.969073,1.775177,3.284922,0.502823,0.674562,1.251182,2.406373,1.526917,2.493113,2.586637,2.406342,1.370086,3.156867,0.806251,0.864626,1.457768,0.764871,0.685830,1.637135,2.178411,2.499134,2.418800,2.658150,2.586629,1.311993,1.573393,2.278260,1.287005,2.278281,0.000000,1.888944,1.741502,2.369947,2.602024,2.438524,1.289218,2.942080,2.146606,3.144940,1.342418,1.691284,2.900997,2.717613,2.188725,1.817985,2.572059,1.803163,1.587532,1.290486
Naso_brachycentron,3.292601,2.040382,4.332685,1.625268,1.902773,1.372963,4.065955,0.479914,4.236384,4.347656,3.442613,2.849695,4.430276,1.219819,1.640668,1.021233,1.210560,2.398022,3.411688,3.350602,4.215100,4.139072,4.325188,4.354541,0.924879,0.656698,3.616819,2.798862,3.915589,1.888944,0.000000,1.971126,1.562471,3.677191,1.407694,2.958907,4.767325,2.811044,3.062877,2.214720,0.714167,4.723060,3.812379,3.623769,1.835242,3.522302,0.778847,2.952922,3.003629
Naso_brevirostris,1.637168,0.312766,2.411622,1.437448,2.082145,2.471876,2.817061,2.023753,3.277318,3.252060,1.837297,2.374904,2.598274,1.350130,1.735396,1.028537,1.338047,1.882822,3.051053,1.992648,3.025041,3.142577,2.934446,3.390553,1.122672,2.206022,3.167906,1.495970,2.781323,1.741502,1.971126,0.000000,1.171056,1.932799,1.289076,2.526761,3.723044,0.858092,2.082252,1.159530,1.290410,3.749800,1.946331,2.309913,0.482531,1.805732,1.267564,1.424421,2.875113
Naso_caesius,2.778627,1.127687,3.436616,2.080282,2.680325,2.635576,3.961086,1.858520,4.371519,4.367527,2.974883,3.295524,3.684490,1.775273,2.323341,1.190208,1.671550,2.754357,3.929599,3.124883,4.157555,4.245014,4.082327,4.483886,1.260587,2.095841,4.112763,2.546957,3.910255,2.369947,1.562471,1.171056,0.000000,3.070020,0.482531,3.431081,4.818766,1.874264,2.629606,2.160382,0.951975,4.836366,2.923602,3.462658,1.243664,2.922318,0.973569,2.530185,3.645235
