,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_mata,0.988561,2.000742,1.431459,2.148157,2.489888,3.377025,1.534064,3.351797,2.149335,2.086481,0.000000,1.893652,1.519880,2.380646,2.246417,2.434836,2.547928,1.912990,2.677262,1.799793,1.985014,1.681158,2.275841,2.533986,3.383525,2.288923,1.453239,1.519810,2.385185,3.431751,1.815443,2.970527,0.429882,2.963369,2.141891,2.639634,1.423638,1.236108,2.926998,2.680487,1.643730,0.862888,1.781913,0.303960,2.832081,1.246445,2.802550
Acanthurus_monroviae,1.902553,2.572192,3.070601,1.394600,1.121559,2.120767,1.572250,2.608985,1.474122,1.708126,1.893652,0.000000,2.906966,1.778058,1.262299,2.271902,1.999433,0.772832,1.061355,1.654788,1.388686,2.021450,1.616570,2.236621,2.512718,0.896265,1.579601,1.291333,1.421318,2.891410,2.405989,3.310725,2.201555,3.256146,0.432737,2.161784,2.550991,1.292653,2.734208,2.064026,2.907472,1.356980,2.313489,2.177966,2.709542,1.738755,1.097966
Acanthurus_nigricans,1.199681,2.597669,0.531619,3.122651,3.501411,4.388429,1.725776,4.369054,2.450609,2.169456,1.519880,2.906966,0.000000,3.392709,3.397292,3.493752,3.410034,2.756823,3.258680,1.895366,2.331276,1.408438,2.486929,3.548273,4.436529,3.304387,1.870260,1.978164,3.155280,4.449056,2.597566,3.714499,1.115664,3.887656,2.957298,2.507597,1.832612,2.474032,3.867029,2.654979,0.909216,1.668164,2.825876,1.402718,3.859595,1.599730,3.481503
Acanthurus_nigricauda,2.211344,1.461858,3.350776,0.432737,0.946412,1.180635,2.860784,1.008271,3.052855,3.155301,2.380646,1.778058,3.392709,0.000000,0.642969,0.659388,0.381705,1.249135,2.365018,3.013452,2.946866,3.140645,3.175892,0.517114,1.045434,2.598910,1.663374,2.708530,0.840579,1.198098,1.341777,1.709506,2.628062,1.671474,1.885122,3.604748,2.011025,1.176916,0.979341,3.565321,2.906170,2.438182,1.262396,2.510650,1.026984,1.850657,2.018249
Acanthurus_nigrofuscus,2.221736,1.919682,3.403660,0.514506,0.533922,1.158104,2.578754,1.379542,2.667833,2.830939,2.246417,1.262299,3.397292,0.642969,0.000000,1.142241,0.973283,0.974463,1.965286,2.717304,2.568182,2.936499,2.801981,1.077135,1.303453,2.011535,1.718048,2.367777,0.900120,1.638276,1.740360,2.285980,2.561797,2.174520,1.435512,3.290023,2.281241,1.040358,1.556510,3.221569,3.072864,2.161360,1.566380,2.441199,1.528802,1.910627,1.648986
Acanthurus_nubilus,2.390869,1.236282,3.350800,1.028035,1.568736,1.642628,3.231887,1.070986,3.522359,3.599456,2.434836,2.271902,3.493752,0.659388,1.142241,0.000000,0.789927,1.804454,2.975614,3.419026,3.399076,3.482053,3.653396,0.223631,1.200300,3.045671,1.974172,3.097923,1.463356,1.021807,1.071559,1.174280,2.669121,1.037501,2.447149,4.085346,1.876852,1.332844,0.554003,4.061318,2.943362,2.708530,0.876111,2.501994,0.454799,2.082808,2.659587
Acanthurus_olivaceus,2.238044,1.364979,3.377987,0.610030,1.135471,1.247745,2.966812,1.004970,3.174763,3.248395,2.547928,1.999433,3.410034,0.381705,0.973283,0.789927,0.000000,1.362417,2.452830,3.109046,3.074751,3.202071,3.284986,0.595299,1.094158,2.857583,1.641721,2.847142,0.796772,1.180677,1.331251,1.599434,2.745086,1.665283,2.038399,3.667291,1.990979,1.413299,0.916223,3.640508,2.848797,2.599674,1.381690,2.655510,1.068987,1.844540,2.089204
Acanthurus_pyroferus,1.608255,1.989747,2.895268,0.817015,0.794927,1.766158,1.754464,2.140787,1.831748,1.951017,1.912990,0.772832,2.756823,1.249135,0.974463,1.804454,1.362417,0.000000,1.220015,1.855348,1.742019,2.081758,1.945427,1.725968,2.093473,1.663802,1.050517,1.585201,0.711278,2.415129,1.890781,2.744747,2.143443,2.777842,0.725232,2.374478,2.102282,1.072839,2.194299,2.323566,2.532956,1.543496,1.918250,2.137088,2.235848,1.295645,1.053468
Acanthurus_tennentii,2.358226,3.167275,3.555370,1.957184,1.555010,2.388267,1.741237,3.072387,1.320550,1.556679,2.677262,1.061355,3.258680,2.365018,1.965286,2.975614,2.452830,1.220015,0.000000,1.666282,1.347032,2.094101,1.371038,2.875031,2.962322,1.380917,1.938689,1.549657,1.676473,3.416880,3.091978,3.940958,2.874988,3.977730,0.651940,1.745956,3.172884,2.183459,3.329298,1.616644,3.274482,1.958623,3.126240,2.943177,3.387405,2.158152,0.514880
Acanthurus_xanthopterus,1.553061,3.096792,2.290102,2.601356,2.588412,3.592321,0.265809,3.974957,0.561447,0.303960,1.799793,1.654788,1.895366,3.013452,2.717304,3.419026,3.109046,1.855348,1.666282,0.000000,0.472055,0.531619,0.594358,3.405205,3.938782,1.781633,1.707709,0.448452,2.492200,4.211175,3.020293,4.153112,1.820788,4.231031,1.574535,0.840567,2.671241,2.198316,3.862072,0.890783,2.304424,0.991846,3.114050,2.012217,3.868700,1.690554,2.071040
