,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_maculatus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_mata,1.654845,1.157299,3.887928,2.621641,1.369303,3.579214,3.120476,1.456632,2.553253,1.094058,0.000000,1.288012,0.967750,1.088883,2.533132,0.753291,2.341010,3.982502,1.710198,1.567023,0.801139,1.996059,1.194280,0.895243,1.750972,2.413023,1.731868,3.271756,3.648979,3.825666,1.984613,1.791207,1.994764,2.902203,3.643067,1.955262,1.289475,4.104822,2.721320,1.634690,2.132423,0.429733,3.650281,3.723902,3.098087,1.726125,3.273695,3.701252,2.369176,0.742780
Acanthurus_monroviae,1.434430,0.444106,2.715304,1.868701,0.919097,2.447397,2.509380,0.912650,1.347077,2.197545,1.288012,0.000000,0.965910,0.654006,1.405039,1.860852,1.526412,2.794616,2.117970,2.149608,1.634306,0.888000,1.634945,0.523530,2.574526,1.810088,2.371841,2.028276,3.030358,3.132444,1.053423,0.700821,1.124835,2.052834,2.524680,0.753642,2.127576,2.900853,2.172460,1.962790,1.906697,1.418194,2.519897,2.610714,1.996361,2.703090,2.551143,2.548339,1.318975,1.736073
Acanthurus_nigricans,2.047999,0.656151,3.337488,1.945686,1.616367,3.166163,2.482688,0.721755,2.211993,1.485741,0.967750,0.965910,0.000000,0.507606,1.937234,1.223034,1.831247,3.443013,1.188215,1.187119,0.839893,1.700391,0.672113,0.913182,1.700763,1.475208,1.412902,2.827889,2.899377,3.045592,1.771470,1.231200,1.249450,2.425200,3.070711,1.639364,1.267714,3.586471,1.839436,1.056312,1.472091,0.881094,3.294739,3.111112,2.399391,1.809477,2.596158,3.204618,1.953943,1.023574
Acanthurus_nigricauda,1.935603,0.219134,2.912498,1.599624,1.256050,2.700293,2.172016,0.405047,1.777671,1.879799,1.088883,0.654006,0.507606,0.000000,1.516824,1.581920,1.380465,3.018563,1.510997,1.592154,1.270404,1.228874,1.096041,0.596115,1.976447,1.448766,1.803233,2.413080,2.674391,2.818648,1.272308,0.792550,0.908563,1.970606,2.644612,1.209820,1.737742,3.161535,1.760172,1.346329,1.338712,1.189484,2.824578,2.702100,2.034206,2.227957,2.275676,2.759238,1.470191,1.416081
Acanthurus_nigrofuscus,2.632705,1.401644,1.401635,0.976206,1.820088,1.302154,1.581871,1.309150,0.883667,3.392365,2.533132,1.405039,1.937234,1.516824,0.000000,3.091388,0.728306,1.512058,2.696212,2.907867,2.766813,0.844397,2.468504,1.699021,3.283904,1.569925,3.103771,1.124420,2.060446,2.084781,0.965220,0.752434,0.810512,0.948515,1.149387,0.929454,3.197785,1.669052,1.698274,2.511642,1.769832,2.679613,1.492854,1.214402,0.640679,3.677392,1.481553,1.277970,0.496653,2.924560
Acanthurus_nubilus,2.152970,1.696182,4.482033,3.080865,2.106252,4.230678,3.543828,1.883732,3.194201,0.355811,0.753291,1.860852,1.223034,1.581920,3.091388,0.000000,2.910944,4.581115,1.543052,1.252729,0.460057,2.657369,1.080016,1.578861,1.485696,2.610708,1.372094,3.883983,3.977371,4.157429,2.676755,2.347884,2.446961,3.493495,4.225021,2.590949,0.676715,4.711342,2.935714,1.549019,2.410865,0.444608,4.319967,4.283723,3.600539,1.113097,3.708061,4.319987,3.005816,0.230028
Acanthurus_olivaceus,2.802105,1.345227,1.810092,0.596115,1.771942,1.643193,1.122256,1.126133,1.374663,3.190978,2.341010,1.526412,1.831247,1.380465,0.728306,2.910944,0.000000,1.944390,2.388972,2.639940,2.600486,1.043064,2.252018,1.599624,2.858084,1.556691,2.805934,1.728916,1.771181,1.887992,0.936035,0.886428,0.775577,0.594209,1.463943,1.238893,3.023272,2.126069,1.544705,2.203431,1.292743,2.539680,1.842919,1.521851,1.065249,3.391139,1.155992,1.653405,0.651398,2.750482
Acanthurus_pyroferus,3.709659,2.885166,0.154952,2.066486,2.992147,0.638906,2.324277,2.817299,1.604906,4.892360,3.982502,2.794616,3.443013,3.018563,1.512058,4.581115,1.944390,0.000000,4.160965,4.398593,4.271439,2.034206,3.974122,3.103301,4.751343,2.830710,4.587368,0.987847,2.609434,2.503300,2.106615,2.234994,2.288821,1.597236,0.558688,2.115801,4.704698,0.219134,2.826133,3.977851,3.083974,4.157295,0.808151,0.638878,1.228874,5.186534,2.084657,0.353357,1.648408,4.423007
Acanthurus_tennentii,3.173768,1.721914,4.031424,2.256681,2.658411,3.954431,2.537110,1.450545,3.213408,1.557430,1.710198,2.117970,1.188215,1.510997,2.696212,1.543052,2.388972,4.160965,0.000000,0.383459,1.166098,2.688817,0.596769,1.976400,0.863575,1.596717,0.464191,3.750094,2.773155,2.966435,2.687264,2.149600,1.888427,2.925019,3.697142,2.691212,1.143096,4.339478,1.750504,0.187115,1.316052,1.536907,4.135467,3.691950,2.983858,1.240051,2.723342,3.933135,2.772123,1.348141
Acanthurus_triostegus,3.057898,1.793553,4.275132,2.562421,2.669316,4.170488,2.885622,1.622348,3.344549,1.218474,1.567023,2.149608,1.187119,1.592154,2.907867,1.252729,2.639940,4.398593,0.383459,0.000000,0.910063,2.813552,0.515272,1.986631,0.801158,1.869345,0.232428,3.917164,3.142932,3.330619,2.825760,2.299469,2.110121,3.198364,3.956617,2.791800,0.778378,4.567829,2.083383,0.507613,1.660135,1.326374,4.334779,3.961476,3.240817,0.898269,3.066355,4.167622,2.962958,1.070448
